2026-06-10 15:31:21 | INFO     | app | Starting RPG Character Builder...
2026-06-10 15:35:58 | INFO     | app | Starting RPG Character Builder...
2026-06-10 15:39:43 | INFO     | app | Starting RPG Character Builder...
2026-06-10 15:42:13 | INFO     | app | Starting RPG Character Builder...
2026-06-10 15:43:00 | INFO     | app | Starting RPG Character Builder...
2026-06-10 15:47:04 | INFO     | app | Starting RPG Character Builder...
2026-06-10 15:49:06 | INFO     | app | Starting RPG Character Builder...
2026-06-10 15:49:06 | INFO     | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2026-06-10 15:49:06 | INFO     | werkzeug | [33mPress CTRL+C to quit[0m
2026-06-10 15:49:06 | INFO     | werkzeug |  * Restarting with watchdog (windowsapi)
2026-06-10 15:49:06 | INFO     | app | Starting RPG Character Builder...
2026-06-10 15:49:07 | WARNING  | werkzeug |  * Debugger is active!
2026-06-10 15:49:07 | INFO     | werkzeug |  * Debugger PIN: 504-257-608
2026-06-10 15:50:05 | INFO     | app.routes.classes | Retrieved 6 classes.
2026-06-10 15:50:05 | INFO     | werkzeug | 127.0.0.1 - - [10/Jun/2026 15:50:05] "GET /classes/ HTTP/1.1" 200 -
2026-06-10 15:50:05 | INFO     | werkzeug | 127.0.0.1 - - [10/Jun/2026 15:50:05] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2026-06-10 15:50:46 | INFO     | app.routes.races | Retrieved 6 races.
2026-06-10 15:50:46 | INFO     | werkzeug | 127.0.0.1 - - [10/Jun/2026 15:50:46] "GET /races/ HTTP/1.1" 200 -
2026-06-10 16:01:12 | INFO     | app | Starting RPG Character Builder...
2026-06-10 16:01:12 | INFO     | app.routes.classes | Retrieved 6 classes.
2026-06-10 16:01:12 | INFO     | app | Starting RPG Character Builder...
2026-06-10 16:01:12 | INFO     | app | Starting RPG Character Builder...
2026-06-10 16:01:12 | INFO     | app.routes.classes | Retrieved 6 classes.
2026-06-10 16:01:12 | INFO     | app.routes.classes | Retrieved 6 classes.
2026-06-10 16:01:12 | INFO     | app | Starting RPG Character Builder...
2026-06-10 16:01:12 | INFO     | app | Starting RPG Character Builder...
2026-06-10 16:01:12 | INFO     | app | Starting RPG Character Builder...
2026-06-10 16:01:12 | INFO     | app.routes.classes | Retrieved 6 classes.
2026-06-10 16:01:12 | INFO     | app.routes.classes | Retrieved 6 classes.
2026-06-10 16:01:12 | INFO     | app.routes.classes | Retrieved 6 classes.
2026-06-10 16:01:12 | INFO     | app | Starting RPG Character Builder...
2026-06-10 16:01:12 | INFO     | app | Starting RPG Character Builder...
2026-06-10 16:01:12 | INFO     | app | Starting RPG Character Builder...
2026-06-10 16:01:12 | INFO     | app | Starting RPG Character Builder...
2026-06-10 16:01:12 | INFO     | app.routes.races | Retrieved 6 races.
2026-06-10 16:01:12 | INFO     | app.routes.races | Retrieved 6 races.
2026-06-10 16:01:12 | INFO     | app.routes.races | Retrieved 6 races.
2026-06-10 16:01:12 | INFO     | app.routes.races | Retrieved 6 races.
2026-06-10 16:01:12 | INFO     | app | Starting RPG Character Builder...
2026-06-10 16:01:12 | INFO     | app | Starting RPG Character Builder...
2026-06-10 16:01:12 | INFO     | app | Starting RPG Character Builder...
2026-06-10 16:01:12 | INFO     | app | Starting RPG Character Builder...
2026-06-10 16:01:12 | INFO     | app | Starting RPG Character Builder...
2026-06-10 16:01:12 | INFO     | app.routes.races | Retrieved 6 races.
2026-06-10 16:01:12 | INFO     | app.routes.races | Retrieved 6 races.
2026-06-10 16:01:12 | INFO     | app.routes.races | Retrieved 6 races.
2026-06-10 16:01:12 | INFO     | app.routes.races | Retrieved 6 races.
2026-06-10 16:01:12 | INFO     | app.routes.races | Retrieved 6 races.
2026-06-10 16:01:12 | INFO     | app | Starting RPG Character Builder...
2026-06-10 16:01:12 | INFO     | app | Starting RPG Character Builder...
2026-06-10 16:01:12 | INFO     | app | Starting RPG Character Builder...
2026-06-10 16:01:12 | INFO     | app | Starting RPG Character Builder...
2026-06-10 16:01:12 | INFO     | app | Starting RPG Character Builder...
2026-06-10 16:01:12 | INFO     | app | Starting RPG Character Builder...
2026-06-10 16:01:12 | INFO     | app.services.character_service | Creating character: {'charisma': 8, 'class_name': 'Warrior', 'constitution': 16, 'dexterity': 10, 'intelligence': 8, 'level': 1, 'name': 'Thorin', 'race_name': 'Dwarf', 'strength': 16, 'wisdom': 10}
